iter	RMSE
227	4833.710422
228	4833.622991
229	4833.622948
230	4832.749654
231	4832.612464
232	4832.189637
233	4831.212527
234	4828.909921
235	4828.521098
236	4826.51275
237	4824.470615
238	4823.112049
239	4797.019771
240	4795.957059
241	4795.590814
242	4794.190607
243	4793.086564
244	4792.940227
245	4792.636739
246	4791.310888
247	4789.987861
248	4789.525001
249	4789.054966
250	4788.715176
251	4788.401959
252	4787.915173
253	4785.691826
254	4784.808791
255	4784.517308
256	4784.137267
257	4783.297225
258	4783.206816
259	4783.2068
260	4782.677089
261	4781.252655
262	4756.691653
263	4756.244959
264	4754.994201
265	4732.799278
266	4732.648059
267	4731.839477
268	4731.354907
269	4730.459916
270	4730.237107
271	4730.009545
272	4708.834592
273	4708.395848
274	4706.982231
275	4705.619573
276	4704.539293
277	4704.241046
278	4701.625436
279	4700.952399
280	4700.843303
281	4700.335451
282	4699.13711
283	4698.183567
284	4698.156255
285	4697.899829
286	4697.73955
287	4697.122193
288	4697.015241
289	4696.463183
290	4694.773446
291	4694.685633
292	4693.976102
293	4693.499052
294	4692.781165
295	4691.748578
296	4691.621064
297	4691.028945
298	4689.933382
299	4689.607625
300	4688.88379
301	4669.848663
302	4668.972897
303	4668.643459
304	4668.142204
305	4668.054336
306	4667.922057
307	4667.922055
308	4667.833137
309	4651.346338
310	4650.848687
311	4649.863286
312	4649.513545
313	4648.891067
314	4645.635698
315	4645.519963
316	4645.161438
317	4645.070946
318	4644.670864
319	4644.239729
320	4644.053558
321	4643.382964
322	4643.354836
323	4643.268932
324	4643.172513
325	4642.116897
326	4642.044136
327	4641.764497
328	4641.154661
329	4640.997876
330	4640.997876
331	4625.260224
332	4622.308977
333	4621.978675
334	4606.519165
335	4606.085557
336	4605.942555
337	4605.73071
338	4591.779304
339	4591.21159
340	4591.132091
341	4591.052717
342	4590.498071
343	4590.072432
344	4588.929377
345	4588.545603
346	4588.45958
347	4588.133973
348	4587.887059
349	4587.185219
350	4586.615276
351	4577.938501
352	4577.863334
353	4577.358085
354	4576.689485
355	4576.313062
356	4576.251707
357	4576.014868
358	4575.38728
359	4575.306202
360	4574.640522
361	4574.353287
362	4573.963398
363	4573.32926
364	4572.905535
365	4572.885673
366	4572.606482
367	4572.036572
368	4572.001825
369	4571.832123
370	4571.766092
371	4570.796001
372	4570.025311
373	4569.854639
374	4569.813372
375	4567.399099
376	4567.144764
377	4567.107172
378	4566.872484
379	4566.592731
380	4565.778962
381	4565.778952
382	4565.622799
383	4565.049832
384	4564.297858
385	4564.095592
386	4563.853927
387	4563.008596
388	4562.469887
389	4555.643408
390	4555.40163
391	4555.401616
392	4555.364706
393	4555.19035
394	4555.150725
395	4554.695004
396	4548.202564
397	4539.809118
398	4539.809107
399	4539.778795
400	4539.560271
401	4539.533051
402	4533.151599
403	4532.627689
404	4522.001075
405	4521.841278
406	4513.946669
407	4504.755752
408	4504.638261
409	4504.189614
410	4503.639819
411	4503.40313
412	4503.38131
413	4503.194044
414	4502.493406
415	4502.348647
416	4501.867272
417	4501.829014
418	4501.468888
419	4501.465298
420	4501.081696
421	4501.08169
422	4500.722021
423	4500.563785
424	4492.31881
425	4492.258312
426	4492.164918
427	4491.048824
428	4490.846988
429	4490.407393
430	4490.321957
431	4490.184716
432	4490.184712
433	4489.428501
434	4489.052655
435	4488.758391
436	4485.684839
437	4485.548848
438	4485.264721
439	4484.730428
440	4484.292548
441	4484.246811
442	4484.098764
443	4483.950834
444	4483.945816
445	4483.62132
446	4483.491739
447	4483.096462
448	4482.638035
449	4482.145674
450	4481.817342
451	4481.652488
452	4481.617737
453	4481.589067
454	4481.553457
455	4481.1099
456	4480.891827
457	4480.860045
458	4480.694621
459	4480.514711
460	4473.087183
461	4473.025895
462	4473.00054
463	4472.996783
464	4472.96439
465	4472.813973
466	4472.79617
467	4472.30146
468	4471.421655
469	4471.384426
470	4470.989625
471	4470.878799
472	4470.854616
473	4470.716642
474	4470.699659
475	4470.651768
476	4470.516684
477	4470.172083
478	4469.971332
479	4469.954966
480	4469.307269
481	4469.307268
482	4465.613475
483	4465.22071
484	4465.186959
485	4465.035719
486	4464.69318
487	4464.615917
488	4464.437891
489	4458.116378
490	4458.06552
491	4458.018578
492	4457.983039
493	4457.978124
494	4457.934646
495	4457.911381
496	4457.752016
497	4457.664329
498	4457.639291
499	4457.356639
500	4457.073355
501	4457.03399
502	4457.03399
503	4457.006822
504	4456.655394
505	4456.625282
506	4456.58958
507	4456.481832
508	4456.430983
509	4456.389153
510	4450.519494
511	4450.375091
512	4450.092107
513	4449.970396
514	4445.805297
515	4445.805297
516	4445.724194
517	4440.597145
518	4440.559443
519	4437.484847
520	4437.369892
521	4437.146283
522	4437.066211
523	4437.010199
524	4436.871392
525	4436.458292
526	4435.836981
527	4435.729421
528	4435.679311
529	4435.138266
530	4435.106059
531	4435.106059
532	4432.372957
533	4432.066267
534	4431.580523
535	4431.51798
536	4431.48885
537	4430.881393
538	4430.881392
539	4430.871309
540	4430.847697
541	4430.364354
542	4430.323872
543	4430.186607
544	4427.897816
545	4427.722128
546	4427.541775
547	4427.521086
548	4427.480781
549	4427.374646
550	4427.273312
551	4427.251151
552	4422.661654
553	4422.1272
554	4422.113226
555	4422.077563
556	4422.02321
557	4421.981214
558	4421.833813
559	4421.722808
560	4421.419492
561	4421.322952
562	4421.242988
563	4420.09793
564	4420.063033
565	4419.839734
566	4419.832086
567	4419.73438
568	4419.430586
569	4418.452914
570	4418.261381
571	4413.889783
572	4413.886048
573	4413.654062
574	4413.41687
575	4413.255336
576	4413.243307
577	4413.170441
578	4412.756562
579	4409.16771
580	4408.496912
581	4408.220295
582	4408.212833
583	4407.931414
584	4406.192703
585	4405.920672
586	4405.789799
587	4405.69254
588	4405.69254
589	4405.583039
590	4405.445793
591	4404.950422
592	4404.929359
593	4404.045003
594	4404.037905
595	4404.037905
596	4403.993721
597	4403.593557
598	4403.090891
599	4403.064166
600	4402.982678
601	4402.929292
602	4402.813211
603	4400.733189
604	4400.724472
605	4400.588963
606	4400.588963
607	4400.382732
608	4400.188947
609	4400.069147
610	4400.035818
611	4399.887656
612	4399.794717
613	4399.736094
614	4399.635436
615	4399.410733
616	4399.190729
617	4399.013662
618	4398.356457
619	4398.003044
620	4397.802916
621	4397.79727
622	4397.620637
623	4397.376176
624	4397.07562
625	4397.006391
626	4397.005002
627	4396.824936
628	4396.77794
629	4396.777441
630	4396.645733
631	4396.640015
632	4396.634737
633	4396.547145
634	4396.492442
635	4396.481481
636	4396.379413
637	4396.297516
638	4396.279835
639	4396.25033
640	4396.037992
641	4395.811837
642	4395.784963
643	4395.758412
644	4395.635991
645	4395.621334
646	4395.614009
647	4395.483154
648	4395.125752
649	4395.001843
650	4395.001843
651	4394.989905
652	4393.536695
653	4391.992545
654	4391.983607
655	4391.98338
656	4391.323784
657	4391.238482
658	4391.156302
659	4391.131885
660	4391.054407
661	4390.43593
662	4390.431603
663	4390.417384
664	4390.366023
665	4390.235964
666	4390.182659
667	4390.171425
668	4390.08998
669	4390.08998
670	4389.746492
671	4389.429596
672	4389.287177
673	4389.281397
674	4389.231175
675	4389.231174
676	4389.134779
677	4389.1119
678	4389.024411
679	4388.625124
680	4388.523069
681	4388.405157
682	4388.340175
683	4388.049416
684	4388.047373
685	4388.012239
686	4387.751294
687	4387.222868
688	4387.153528
689	4387.02944
690	4387.019906
691	4386.941783
692	4386.582309
693	4386.51438
694	4386.043855
695	4385.189653
696	4385.145776
697	4385.124366
698	4385.052753
699	4385.049777
700	4383.614101
701	4383.229395
702	4382.793355
703	4382.793345
704	4382.707695
705	4382.564307
706	4382.564111
707	4382.544735
708	4382.516143
709	4382.293351
710	4382.256869
711	4382.234045
712	4382.076901
713	4381.808324
714	4381.594582
715	4381.418601
716	4381.365226
717	4381.362342
718	4381.362338
719	4381.098766
720	4381.080995
721	4380.776318
722	4380.727839
723	4380.727836
724	4380.650652
725	4380.584445
726	4380.364341
727	4380.223822
728	4380.133987
729	4379.973094
730	4379.971471
731	4378.563487
732	4378.563486
733	4378.563485
734	4378.499666
735	4378.399671
736	4378.340949
737	4378.286493
738	4378.155131
739	4378.021786
740	4378.019434
741	4377.956563
742	4377.824446
743	4377.71916
744	4377.619615
745	4377.493193
746	4377.421024
747	4377.4001
748	4377.026906
749	4376.835698
750	4376.781553
751	4376.700271
752	4376.584003
753	4376.576548
754	4376.505741
755	4376.294753
756	4376.271712
757	4376.112768
758	4376.067354
759	4375.958223
760	4375.955954
761	4375.408661
762	4375.393216
763	4375.038812
764	4374.8838
765	4374.876175
766	4374.866247
767	4374.866246
768	4374.846226
769	4374.758877
770	4374.754332
771	4374.49693
772	4374.496808
773	4374.467008
774	4374.45507
775	4374.369262
776	4374.227917
777	4374.167068
778	4374.137197
779	4373.956325
780	4373.805352
781	4373.786587
782	4373.723817
783	4373.658583
784	4373.598388
785	4373.126121
786	4373.126121
787	4373.094407
788	4371.052365
789	4370.794002
790	4370.709018
791	4370.614797
792	4369.940944
793	4369.924608
794	4369.525604
795	4369.463974
796	4368.857066
797	4368.851305
798	4368.705929
799	4368.618924
800	4367.989304
801	4367.596644
802	4367.58933
803	4367.476548
804	4367.352569
805	4367.271682
806	4367.247501
807	4365.650765
808	4365.648234
809	4365.646218
810	4365.640624
811	4365.598186
812	4365.596448
813	4365.214618
814	4365.20927
815	4365.139705
816	4365.035931
817	4364.971478
818	4364.971289
819	4364.886032
820	4364.815952
821	4364.589626
822	4364.453127
823	4364.35389
824	4363.914011
825	4363.908957
826	4363.678655
827	4363.603813
828	4363.603361
829	4363.461222
830	4363.408536
831	4363.082706
832	4363.033122
833	4362.662661
834	4362.59165
835	4362.587353
836	4362.580209
837	4362.544275
838	4362.468301
839	4362.428636
840	4362.272569
841	4362.212148
842	4362.143698
843	4361.993676
844	4361.945278
845	4361.911587
846	4361.751626
847	4361.68685
848	4361.580037
849	4361.501599
850	4361.419562
851	4361.419029
852	4361.368022
853	4361.363518
854	4361.358112
855	4358.692843
856	4358.692587
857	4357.993049
858	4357.990783
859	4357.850386
860	4357.752585
861	4357.711199
862	4357.657151
863	4357.520564
864	4357.426894
865	4356.958891
866	4356.951298
867	4356.837372
868	4356.810958
869	4356.749825
870	4356.648311
871	4356.095214
872	4354.841403
873	4354.713449
874	4354.7041
875	4354.417331
876	4353.894904
877	4353.894747
878	4353.894743
879	4353.894742
880	4353.704456
881	4353.670039
882	4353.613435
883	4353.59184
884	4353.585284
885	4353.12928
886	4353.129279
887	4353.077732
888	4353.057278
889	4353.014158
890	4353.014157
891	4352.851126
892	4352.80002
893	4352.798664
894	4352.741751
895	4352.627321
896	4352.407425
897	4352.37478
898	4352.361086
899	4352.279024
900	4352.27678
901	4352.21871
902	4352.188508
903	4352.186356
904	4352.108602
905	4352.001318
906	4351.953058
907	4351.933479
908	4351.807162
909	4351.780085
910	4351.411008
911	4351.376746
912	4350.164357
913	4349.797736
914	4349.712637
915	4349.167256
916	4349.167254
917	4349.116011
918	4349.115019
919	4349.04831
920	4349.000973
921	4346.409168
922	4346.409126
923	4346.25405
924	4345.643797
925	4345.604115
926	4345.527826
927	4345.453036
928	4345.443777
929	4345.411259
930	4345.409396
931	4345.409386
932	4345.395851
933	4345.301454
934	4345.016602
935	4343.99402
936	4343.915318
937	4343.849381
938	4343.835218
939	4343.835216
940	4343.649339
941	4343.4182
942	4343.35881
943	4343.354079
944	4343.277514
945	4343.264674
946	4343.15934
947	4343.117678
948	4342.469292
949	4342.428403
950	4342.160499
951	4342.137807
952	4342.090638
953	4341.837454
954	4341.784351
955	4341.784351
956	4341.68551
957	4341.631097
958	4341.618822
959	4341.520545
960	4341.324747
961	4341.311541
962	4341.051705
963	4340.788081
964	4340.75629
965	4340.330414
966	4340.330394
967	4340.100234
968	4339.550403
969	4339.517993
970	4339.462291
971	4339.425274
972	4339.416217
973	4339.317964
974	4339.31643
975	4339.266259
976	4339.265189
977	4339.218993
978	4338.766369
979	4338.700885
980	4338.611402
981	4338.542629
982	4338.486997
983	4338.47613
984	4338.44619
985	4338.361968
986	4338.327981
987	4338.080747
988	4338.032936
989	4338.03185
990	4338.031829
991	4337.934496
992	4337.89014
993	4337.818429
994	4337.698382
995	4337.557196
996	4337.478712
997	4337.470926
998	4337.462386
999	4337.419639
